,SMAPE,MASE,OWA,MAE,RMSE
D865,9.530881531,8.103331674,5.795058225,148.7075565,152.5342318
D866,3.677031499,1.249558631,2.077651868,165.0571359,177.5707518
D867,22.16294691,13.31150141,10.99679733,1300.738309,1305.239949
D868,11.0732785,7.237985784,6.026115117,1076.604674,1089.909206
D869,22.73839736,11.27641416,12.05493761,1879.231083,1885.551793
D870,21.03007288,4.395552717,8.248843212,538.4811872,543.5663682
D871,10.34555566,8.284308051,5.362727977,1074.700223,1090.397408
D872,5.125892754,5.455464603,3.234173442,788.6857003,842.4863937
D873,18.40560881,19.56662127,12.00484449,2669.126828,2701.89728
D874,5.65023556,0.578640507,4.203544051,62.80000872,63.59257116
D875,14.16175545,10.32950049,7.107602396,1328.247475,1339.379671
D876,25.19140491,15.13088193,12.6318205,219.1974372,219.8222052
D877,7.902663254,6.341448644,4.839789443,798.2330218,810.6471513
D878,18.17451594,11.32321163,10.86763439,156.9056573,157.3684962
D879,8.263892224,6.76662604,5.05692381,834.4652902,846.0226788
D880,12.48026726,7.168164551,6.860475246,952.0725307,962.6479478
D881,12.36460658,7.392361978,7.317390864,1019.436286,1029.899536
D882,1.440574393,1.14123166,0.882511672,145.6680804,161.5344602
D883,96.75743649,22.08417832,38.85403192,3508.858371,3510.607405
D884,7.057784983,5.272706023,4.0032005,634.4875419,653.9347857
D885,18.75451672,10.90356624,10.93918371,1502.317648,1509.4249
D886,6.777393037,1.774684008,3.54851589,270.9416364,284.7124718
D887,6.333437452,4.418872361,3.483156771,577.9171317,599.044876
D888,8.265311056,6.291907319,4.968900473,803.7540458,817.7594741
D889,1.786533686,1.141291979,1.093495101,164.4059989,190.097942
D890,18.92100013,23.31589569,10.79713078,3478.151395,3490.128015
D891,1.759220859,1.262820459,0.980130414,165.0157227,178.8248966
D892,8.766844378,6.550991289,5.905095003,780.20399,790.1820782
D893,6.867142185,9.190121966,3.793080213,125.2388689,127.788722
D894,7.83035974,9.133557816,9.410119463,130.1053544,131.0262212
D895,1.029988655,0.9136065,1.086955562,11.542643,14.39620779
D896,1.992502172,1.764116485,1.597029175,25.98808873,29.83744831
D897,16.40708366,13.6993319,16.98478222,210.1276399,211.2000719
D898,4.47376015,3.711223883,2.203783806,55.59346157,76.62083031
D899,1.76340273,1.543719884,1.866013746,19.66349993,23.09638195
