,SMAPE,MASE,OWA,MAE,RMSE
W53,42.19888462421172,5.726813621840275,6.468242166359264,1073.0999286358174,1083.3959802561042
W54,64.63545238022684,50.48607220580914,114.18167944313848,2347.694373497596,2347.828056089904
W55,17.124882284405867,6.1269888430424775,3.48132318790734,790.5837590144231,845.0637963883868
W56,32.78757207734906,12.558379011463058,6.855196289098868,1005.4837740384615,1053.344650223554
W57,13.042107761868628,5.239822615438433,1.621929009710022,212.18402569110577,235.75109771128837
W58,6.32346898065221,2.755397470676998,1.1099128101896092,222.66533954326923,268.06780908367995
W59,17.16901793481587,0.7506959767989287,0.6457054293588141,341.45691856971155,442.6705006051342
W60,2.479273253149275,4.096632320831455,1.8707128823936507,231.6822506009616,286.30306629355084
W61,56.117880060502266,37.644152186394585,7.938475905941359,4680.992886117789,4693.820830608161
W62,7.192790560996743,8.05128155038216,3.603114900602165,506.8943434495193,554.4781291419962
W63,2.304459831898661,2.1821503164625864,1.5093197291217617,145.33571965144228,206.94974349699183
W64,25.026909129897227,14.852023603908778,2.22331390472568,3081.764197716346,3207.950963136407
W65,16.54163430506498,11.117040165838194,1.7724030062688452,2961.314978966346,3143.9202160328005
W66,71.63106900898057,135.3182322026075,22.18673672122994,3975.6521484375,3977.732638197351
W67,56.03279205373761,197.86819463097095,43.97618950154771,6061.412710336538,6067.427526134037
W68,13.01077417365121,27.540070459186737,24.130433566212417,853.4460862379807,854.0947628265826
W69,2.271053695075987,4.084974048839538,4.167363230090549,160.50399038461552,164.11453267128078
W70,11.688742511573484,9.84499593439182,14.859757100770748,324.9965647536058,325.867793329597
W71,48.1172213639091,9.846576621396428,168.700811125715,1207.7049091045674,1207.7708794644366
W72,51.141587409772505,12.831900310616332,181.37203389956957,1309.69873046875,1309.7676195916358
W73,99.89852708410577,37.27059300827706,453.0700479223649,3804.5146484375,3804.5361500473937
W74,88.34082377824764,33.06482373005375,5.23103346159947,2687.2328733473555,2785.083341021937
W75,71.54951705654635,44.24904571792544,16.91040102286253,12951.21017127404,12982.016037627029
W76,174.41504511149586,83.85353108052468,64.81011322887244,4925.54278094952,4926.503746175014
W77,107.44774555767108,17.04138751468392,7.228383691189167,3127.2018276742792,3150.695816689109
W78,105.59401763198784,13.509635145593608,6.796726563952491,3034.830520207332,3058.3063093125884
W79,18.23250952247273,3.7359080862560456,2.2551063108581246,339.18932166466345,356.7849963587679
W80,17.53947272860596,3.2719834151921217,2.392629404785392,328.24355844350964,344.784538572071
W81,73.67233685303454,53.86974081833238,24.889597174536867,13125.437169471155,13145.519784368733
W82,5.170533911219664,29.040824034310194,20.21534120176638,234.57396484375,234.6890055736096
W83,45.82042043168556,63.21590042190118,55.74872153181653,2232.620691856971,2233.022390979051
W84,34.866314554369765,47.00971676502958,32.39841211911833,1775.8674804687498,1776.4510603548574
W85,49.5469139164236,120.94074657382846,95.92411646128298,6970.722280649038,6973.156926120607
W86,47.29811509486112,111.99582367618206,92.13985895361502,6720.371619591346,6722.829900302134
W87,2.13312921390291,2.416501067979916,3.927574887146406,23.11344914362978,23.344710146705037
W88,33.78486182415699,102.63041222412838,57.63974689187038,3494.1699459134616,3494.613757931099
W89,79.67254398347066,17.179226141802552,29.50483819524061,1486.9265887920674,1487.504801864167
W90,0.8110038274731581,0.9099951127779304,0.4941860007517306,15.036381460336544,20.58218903867665
W91,33.802621629554665,46.20299666247426,18.20923875791835,5691.905832331731,5695.697293830487
W92,14.606035228455053,18.68513897683332,4.36737008933793,3499.1014543269234,3553.396810826739
W93,12.050948504864053,18.101379916127804,18.14622291375389,198.9385006009616,199.01838104256612
W94,24.250644829722216,8.577098445668854,6.057675331606516,549.3249654447116,559.1741958569594
W95,9.044979207427202,2.647004713315772,2.3146787601790715,158.31464693509616,187.22559186005037
W96,4.523491659018783,17.58322780393182,7.608400197045419,505.7935216346155,511.94821096144176
W97,102.38735885528764,14.797284257659571,23.64454988549258,1002.6761718750004,1002.9206223866448
W98,114.92239592913064,23.311500922868177,39.38929630763398,1643.7950623497595,1643.9284479783064
W99,9.467577442454076,30.38643084690419,12.137282425599713,1478.1404717548078,1479.545116461663
W100,8.968850649517572,18.122974442169628,5.127469417243755,1000.4471484375,1014.7051234616824
W101,21.4380610332141,39.62167109612084,27.164602717921845,1925.095827524039,1926.807931311652
W102,29.17369767381788,65.12052061262695,30.54894140771217,4024.738876201923,4026.5380330105822
W103,2.67292500217717,2.4703389684783263,0.6069397156976051,110.32859675480783,139.496950733965
W104,25.96290244957588,29.18659286062577,30.047857290421035,297.4322288161057,297.849680307908
W105,16.932453477075203,68.99482971147266,58.16843650084546,1417.990689603365,1418.9081203766675
W106,4.418572700908519,8.468795456224743,8.397843944967736,93.3934284855769,93.56428169100786
W107,9.814271298477156,50.82760991187093,18.609117652533342,2272.378599759615,2277.1987245366463
W108,3.157361313974694,16.23863285446353,5.681765421735863,498.3192728365382,502.3309681254993
W109,3.4046803318520458,15.434388218794597,5.40039751694448,478.0594975961537,482.6896869127736
W110,27.385861267185035,38.59933154949168,28.35987945114173,1800.0318329326922,1801.8752861720632
W111,24.297775263137485,31.26770196664596,46.745490671964674,298.9217123647837,298.9416201226548
W112,16.67936767879468,50.343660980350506,24.83701705702088,1473.1641496394234,1474.3615095421594
W113,73.12594059368618,12.1368194582066,20.33815443893612,844.4148501352163,844.8025932368287
W114,4.175621147219221,3.2254533253324693,4.61242320965614,420.5946604567304,430.317677514001
W115,2.3758820093782984,2.672056926290596,2.557742865810301,258.8922596153847,277.96694802994995
W116,10.242757202087372,8.351038336068429,2.101810711663455,1412.5506881009617,1474.3742279943522
W117,19.517485520710345,37.27425509948659,19.784605688589004,1275.9381911057694,1284.6212605073806
W118,11.99164403288268,18.01600995005848,18.049378316652124,197.93713814603367,198.017418885569
W119,24.019992834177813,6.265121203664796,4.166580404108342,321.3245759465144,331.337484862536
W120,16.144926124076655,3.667965256366194,2.80188704930532,172.2157880108173,191.91642864519807
W121,10.334900930577774,35.630675956126964,13.342787471398292,1035.1751087740386,1038.3242056014724
W122,97.57382269528608,10.3508497861292,21.594912540952716,677.146016000601,677.5116043432989
W123,107.09427419683796,15.539663416147448,33.93147316047776,1058.67654672476,1058.887074693035
W124,8.318909303633083,23.18851368384428,10.303407500495052,672.5825345552886,673.6742976979771
W125,50.70134227613835,87.62075451300613,29.793917311108448,4470.793631310096,4472.945065133366
W126,19.56341803978974,35.670637640338775,23.35381511888033,1726.8821911057687,1728.73066070008
W127,14.976478748045906,29.717333569687163,9.812271047573102,1529.3943419471154,1539.0723027160673
W128,4.855199171742395,4.679663685061643,1.2259148311077368,180.10056865985584,207.40648065662447
W129,31.125520629281176,36.40647445809384,37.54586935121945,360.9191481370193,361.2443976113378
W130,22.73719239084032,97.66558145945947,74.0501433778304,1656.8456595552886,1657.4212962066083
W131,4.377971850607101,8.386504882883372,8.315227153469323,92.50766165865382,92.67851832082604
W132,8.989445474050978,48.19710681918647,17.20709249978391,1978.7081430288456,1984.094717348848
W133,5.3326835138326505,24.8033557600411,8.893825682761243,723.7763563701922,727.1862163048534
W134,26.43386404344108,95.59037585115884,35.419768994441625,2844.7148491586536,2845.528523328753
W135,26.98305259129476,37.90410284940277,30.321924510774338,1502.6048737980768,1504.5139765200768
W136,61.98154813648036,91.6632046687668,34.98542668181463,3127.727989783654,3129.633820157232
W137,48.23475071168911,110.16934830911792,68.95071026165196,2762.0659906850965,2762.5036125332226
W138,7.698024403471378,0.5903462023947266,0.7832438536562567,27.767517183743987,33.114402371001795
W139,1.031483390609953,0.7823590539614546,0.9226579089484116,78.95502163461543,96.99408846871744
W140,2.2879333029429816,2.085408427421638,1.950380745368728,182.19445522836543,208.58604191672768
W141,3.1450464543394148,2.147349887385009,0.5916747267497687,338.31639543269233,419.4008618263713
W142,22.21912173321663,41.10488357885128,24.33990856695369,1094.3867935697117,1099.279019437791
W143,14.165540315203286,23.282316998324006,16.916708101514413,1503.9750859374997,1505.1209877367446
W144,19.453554021951497,4.794470882290072,3.344948534608742,246.7008676382212,258.7163990252883
W145,9.917100444654254,2.064771385555692,1.7011952032593998,983.1608173076924,1236.006385833335
W146,7.621925805742472,20.428056132191397,7.639335057624014,501.57977890624994,504.75751691987176
W147,123.25316133488188,7.089991561955165,38.45431214529405,375.4922534179687,375.5243345622099
W148,41.88134483494345,1.2832045042099829,8.922892614378615,73.52513681265023,73.86341430519774
W149,17.68545411209276,26.57983883189498,11.266609538885346,709.2367312199518,710.2568966755284
